Назва товару,Теги (через кому),Короткий опис,Довгий опис,Вік,Інгредієнти,Тип шкіри,Серія,Класифікація
Triple Collagen Cream,"потрійний колаген, зволоження, пружність, антивіковий, крем, корейська косметика","Крем з потрійним колагеном для інтенсивного зволоження та підвищення пружності шкіри.","Triple Collagen Cream — це насичений крем з трьома видами колагену для комплексного догляду за зрілою та зневодненою шкірою. Кожен вид колагену працює на своєму рівні шкіри.

Гідролізований колаген проникає глибоко, стимулюючи регенерацію. Розчинний колаген зволожує середні шари. Колагенова плівка на поверхні захищає від втрати вологи. Результат — пружна, напоєна шкіра без відчуття стягнутості.

Насичена текстура ідеальна для вечірнього догляду та сухої шкіри.",25+,"Потрійний колаген, гіалуронова кислота, церамідний комплекс, масло ші, сквалан, пантенол",Суха/Зріла,Collagen,Натуральна
Zero Pore Cream 2.0,"звуження пор, матування, себоконтроль, жирна шкіра, легкий крем, корейська косметика","Легкий крем для звуження пор та матування. Оновлена формула 2.0 з посиленою дією.","Zero Pore Cream 2.0 — це легкий крем-фініш для тих, хто бореться з розширеними порами та жирним блиском. Оновлена формула забезпечує тривале матування без пересушування.

Крем містить мікрочастинки, які оптично зменшують видимість пор та вирівнюють рельєф шкіри. Ніацинамід регулює виділення себуму, а цинк контролює жирний блиск протягом дня.

Легка текстура швидко вбирається, створює ідеальну базу під макіяж. Підходить для жирної та комбінованої шкіри.",16+,"Ніацинамід, цинк PCA, каолін, екстракт гамамелісу, гіалуронова кислота",Жирна/Комбінована,Zero Pore,Лікувальна

PDRN Pad,"PDRN, педи, очищення, тонізування, зволоження, зручність, корейська косметика","Педи з PDRN для щоденного очищення та тонізування шкіри. Зволоження в одному кроці.","PDRN Pad — це зручні педи, просочені есенцією з рослинним PDRN для швидкого та ефективного догляду. Одна сторона з текстурою для м'якого очищення, інша — гладка для тонізування.

Педи видаляють залишки забруднень після вмивання, тонізують та зволожують шкіру. PDRN стимулює регенерацію, а гіалуронова кислота забезпечує миттєве зволоження.

Ідеальні для ранкового догляду, подорожей або освіження протягом дня. 70 педів у банці.",16+,"Рослинний PDRN, гіалуронова кислота, ніацинамід, пантенол, алантоїн",Всі типи,PDRN,Натуральна
Deep Vita C Pad,"вітамін С, педи, освітлення, тонізування, ексфоліація, корейська косметика","Педи з вітаміном С для освітлення та м'якої ексфоліації. Сяюча шкіра щодня.","Deep Vita C Pad — це педи з концентрованим вітаміном С для щоденного освітлення та тонізування шкіри. Текстурована сторона забезпечує м'яку ексфоліацію, видаляючи омертвілі клітини.

Вітамін С освітлює пігментні плями, вирівнює тон шкіри та захищає від вільних радикалів. Педи ідеальні для підготовки шкіри до подальшого догляду.

Використовувати вранці після вмивання. Рекомендується наносити SPF-захист.",16+,"Вітамін С, AHA, гіалуронова кислота, ніацинамід, екстракт лимону",Всі типи,Deep Vita C,Натуральна
Zero Pore Pad,"звуження пор, педи, очищення пор, BHA, себоконтроль, корейська косметика","Педи з BHA для глибокого очищення пор та контролю жирного блиску.","Zero Pore Pad — це педи з салициловою кислотою (BHA) для глибокого очищення пор та боротьби з чорними цятками. Текстурована сторона ефективно видаляє забруднення з пор.

BHA проникає в пори, розчиняє себум та запобігає утворенню комедонів. Ніацинамід звужує пори та матує шкіру. Результат — чиста, матова шкіра без чорних цяток.

Використовувати 1-2 рази на день на проблемних зонах (Т-зона, ніс, підборіддя).",16+,"Салицилова кислота (BHA), ніацинамід, цинк PCA, алантоїн, екстракт гамамелісу",Жирна/Комбінована,Zero Pore,Лікувальна
Red Succinic Peeling Pad,"янтарна кислота, пілінг, педи, акне, проблемна шкіра, ексфоліація, корейська косметика","Пілінг-педи з янтарною кислотою для проблемної шкіри. М'яке очищення та боротьба з акне.","Red Succinic Peeling Pad — це педи з янтарною кислотою для м'якої ексфоліації проблемної шкіри. Янтарна кислота — ніжний пілінг-агент, який підходить навіть для чутливої шкіри з акне.

Педи видаляють омертвілі клітини, очищують пори, зменшують запалення та прискорюють загоєння. Регулярне використання запобігає появі нових висипань.

Використовувати ввечері 2-3 рази на тиждень. Уникати зони навколо очей.",16+,"Янтарна кислота, ніацинамід, екстракт центели, алантоїн, бетаїн",Проблемна,Red,Лікувальна
Collagen Pad,"колаген, педи, зволоження, пружність, тонізування, корейська косметика","Педи з колагеном для зволоження та підвищення пружності шкіри.","Collagen Pad — це педи, просочені есенцією з колагеном для інтенсивного зволоження та підвищення пружності шкіри. Ідеальні для зрілої та зневодненої шкіри.

Колаген насичує шкіру вологою, покращує еластичність та надає здорового вигляду. Гіалуронова кислота забезпечує додаткове зволоження, а пантенол заспокоює.

Використовувати вранці та ввечері після очищення. Можна залишати на шкірі як експрес-маску на 10-15 хвилин.",25+,"Колаген, гіалуронова кислота, пантенол, алантоїн, екстракт алое",Суха/Зріла,Collagen,Натуральна
Hyaluronate Pad,"гіалуронова кислота, педи, зволоження, тонізування, сухість, корейська косметика","Педи з гіалуроновою кислотою для інтенсивного зволоження сухої шкіри.","Hyaluronate Pad — це педи з високою концентрацією гіалуронової кислоти для миттєвого та тривалого зволоження. Ідеальні для сухої та зневодненої шкіри.

Гіалуронова кислота різної молекулярної маси забезпечує зволоження на різних рівнях шкіри. Низькомолекулярна проникає глибоко, високомолекулярна утримує вологу на поверхні.

Використовувати вранці та ввечері. Можна застосовувати як експрес-маску на сухих ділянках.",16+,"Гіалуронова кислота (3 види), пантенол, бетаїн, алантоїн, екстракт алое",Суха,Hyaluronic,Натуральна
Vitamin C Pad,"вітамін С, педи, освітлення, антиоксидант, тонізування, корейська косметика","Педи з вітаміном С для щоденного освітлення та захисту шкіри від вільних радикалів.","Vitamin C Pad — це педи з стабільним вітаміном С для щоденного освітлення та антиоксидантного захисту шкіри. Текстурована сторона забезпечує м'яку ексфоліацію.

Вітамін С нейтралізує вільні радикали, освітлює пігментні плями та стимулює вироблення колагену. Регулярне використання надає шкірі здорового сяйва.

Використовувати вранці після вмивання. Обов'язково наносити SPF-захист.",16+,"Вітамін С, ніацинамід, гіалуронова кислота, екстракт зеленого чаю, токоферол",Всі типи,Deep Vita C,Натуральна
Madecassoside,"мадекасосид, центела, заспокійливий, чутлива шкіра, відновлення, корейська косметика","Заспокійлива сироватка з мадекасосидом для чутливої та подразненої шкіри.","Madecassoside — це концентрована сироватка з чистим мадекасосидом (активний компонент центели азіатської) для заспокоєння та відновлення чутливої шкіри.

Мадекасосид — потужний заспокійливий інгредієнт, який зменшує почервоніння, запалення та прискорює загоєння. Ідеальний для шкіри після косметологічних процедур, при розацеа або акне.

Легка текстура швидко вбирається. Можна наносити точково на проблемні зони або на все обличчя.",16+,"Мадекасосид, азіатикозид, пантенол, алантоїн, бетаїн, гіалуронова кислота",Чутлива,Cica,Натуральна
Teatree Pad,"чайне дерево, педи, акне, антибактеріальний, проблемна шкіра, корейська косметика","Педи з маслом чайного дерева для боротьби з акне та бактеріями.","Teatree Pad — це педи з маслом чайного дерева для антибактеріального очищення проблемної шкіри. Чайне дерево — природний антисептик, який бореться з бактеріями, що викликають акне.

Педи очищують пори, зменшують запалення та запобігають появі нових висипань. Екстракт центели заспокоює подразнення, а ніацинамід вирівнює тон шкіри.

Використовувати на проблемних зонах 1-2 рази на день. Уникати зони навколо очей.",16+,"Масло чайного дерева, екстракт центели, ніацинамід, салицилова кислота, алантоїн",Проблемна,Teatree,Лікувальна
Phyto-Enzyme Pad,"ензими, педи, ексфоліація, очищення, тьмяна шкіра, корейська косметика","Педи з рослинними ензимами для м'якої ексфоліації та сяйва шкіри.","Phyto-Enzyme Pad — це педи з рослинними ензимами (папаїн, бромелаїн) для м'якої ензимної ексфоліації. Ензими розщеплюють омертвілі клітини без механічного тертя.

Ідеальні для чутливої шкіри, яка не переносить кислотні пілінги. Педи освіжають шкіру, вирівнюють текстуру та надають здорового сяйва.

Використовувати 2-3 рази на тиждень ввечері. Підходить для всіх типів шкіри.",16+,"Папаїн, бромелаїн, екстракт ананасу, гіалуронова кислота, алантоїн",Всі типи,Phyto,Натуральна

PDRN Hydrating Gel Cleanser,"PDRN, гель для вмивання, очищення, зволоження, м'яке очищення, корейська косметика","М'який гель для вмивання з PDRN, який очищує без пересушування та зволожує шкіру.","PDRN Hydrating Gel Cleanser — це м'який гель для вмивання з рослинним PDRN, який ефективно очищує шкіру, не порушуючи її захисний бар'єр. Ідеальний для щоденного ранкового та вечірнього очищення.

Гелева текстура утворює ніжну піну, яка видаляє забруднення, макіяж та надлишок себуму. PDRN та гіалуронова кислота зволожують шкіру під час очищення, запобігаючи відчуттю стягнутості.

Підходить для всіх типів шкіри, включаючи чутливу. pH-збалансована формула.",16+,"Рослинний PDRN, гіалуронова кислота, бетаїн, алантоїн, екстракт алое",Всі типи,PDRN,Натуральна
Zero Foam Cleanser,"пінка для вмивання, очищення пор, матування, жирна шкіра, корейська косметика","Пінка для глибокого очищення жирної шкіри та звуження пор.","Zero Foam Cleanser — це пінка для глибокого очищення жирної та комбінованої шкіри. Формула ефективно видаляє надлишок себуму, забруднення та залишки макіяжу.

Пінка містить каолін для абсорбції жиру та ніацинамід для звуження пор. Після вмивання шкіра чиста, матова, але не пересушена.

Використовувати вранці та ввечері. Ідеальна для другого етапу подвійного очищення.",16+,"Ніацинамід, каолін, цинк PCA, екстракт гамамелісу, бетаїн",Жирна/Комбінована,Zero Pore,Лікувальна
Red Foam Cleanser,"пінка для вмивання, акне, проблемна шкіра, антибактеріальний, корейська косметика","Пінка для очищення проблемної шкіри з акне. Антибактеріальна дія.","Red Foam Cleanser — це пінка для очищення проблемної шкіри, схильної до акне. Формула з янтарною кислотою та екстрактом центели м'яко очищує, не подразнюючи запалені ділянки.

Пінка видаляє бактерії та забруднення, які провокують акне. Центела заспокоює запалення, а ніацинамід зменшує почервоніння.

Використовувати вранці та ввечері. Уникати потрапляння в очі.",16+,"Янтарна кислота, екстракт центели, ніацинамід, чайне дерево, алантоїн",Проблемна,Red,Лікувальна
Zero Pore Sa Clear Capsule Cleancing Foam,"салицилова кислота, капсульна пінка, очищення пор, BHA, корейська косметика","Капсульна пінка з салициловою кислотою для глибокого очищення пор.","Zero Pore Sa Clear Capsule Cleancing Foam — це інноваційна пінка з капсулами салицилової кислоти, які активуються при вмиванні. BHA проникає в пори, розчиняючи забруднення та себум.

Капсульна технологія забезпечує свіжість та ефективність активних інгредієнтів при кожному використанні. Після вмивання пори чисті, шкіра матова та свіжа.

Використовувати ввечері. Рекомендується для жирної та комбінованої шкіри.",16+,"Салицилова кислота (BHA), ніацинамід, каолін, цинк PCA, алантоїн",Жирна/Комбінована,Zero Pore,Лікувальна
Zero Pore Blackhead Deep Cleansing Oil,"гідрофільна олія, очищення, видалення макіяжу, чорні цятки, корейська косметика","Гідрофільна олія для глибокого очищення та видалення чорних цяток.","Zero Pore Blackhead Deep Cleansing Oil — це гідрофільна олія для першого етапу подвійного очищення. Ефективно розчиняє макіяж, SPF та забруднення, що накопичуються в порах.

Формула містить компоненти, які розм'якшують чорні цятки та полегшують їх видалення. При контакті з водою олія перетворюється на молочну емульсію, яка легко змивається.

Використовувати ввечері на суху шкіру. Масажувати 1-2 хвилини, потім змити водою.",16+,"Мінеральна олія, олія жожоба, вітамін Е, екстракт гамамелісу",Всі типи,Zero Pore,Натуральна
Zero Pore Toner,"тонер, звуження пор, матування, підготовка шкіри, корейська косметика","Тонер для звуження пор та підготовки шкіри до подальшого догляду.","Zero Pore Toner — це тонер для жирної та комбінованої шкіри, який звужує пори, матує та балансує pH шкіри після очищення. Підготовлює шкіру до подальшого догляду.

BHA м'яко ексфолює та очищує пори зсередини. Ніацинамід звужує пори та контролює виділення себуму. Гіалуронова кислота зволожує без жирного блиску.

Наносити на ватний диск або долонями після очищення.",16+,"Салицилова кислота (BHA), ніацинамід, гіалуронова кислота, екстракт гамамелісу",Жирна/Комбінована,Zero Pore,Лікувальна
Triple Collagen Toner,"колаген, тонер, зволоження, пружність, антивіковий, корейська косметика","Тонер з потрійним колагеном для зволоження та підвищення пружності шкіри.","Triple Collagen Toner — це зволожуючий тонер з трьома видами колагену для зрілої та зневодненої шкіри. Перший крок антивікового догляду після очищення.

Тонер насичує шкіру колагеном, підготовлюючи її до подальших етапів догляду. Гіалуронова кислота забезпечує миттєве зволоження, а пантенол заспокоює.

Наносити долонями або ватним диском, м'яко вбиваючи в шкіру.",25+,"Потрійний колаген, гіалуронова кислота, пантенол, алантоїн, бетаїн",Суха/Зріла,Collagen,Натуральна
PDRN Pink Niacinamide Milky Toner,"PDRN, ніацинамід, молочний тонер, освітлення, зволоження, корейська косметика","Молочний тонер з PDRN та ніацинамідом для освітлення та зволоження шкіри.","PDRN Pink Niacinamide Milky Toner — це насичений молочний тонер з рослинним PDRN та ніацинамідом для комплексного догляду. Молочна текстура інтенсивно зволожує та живить шкіру.

PDRN стимулює регенерацію, ніацинамід освітлює та вирівнює тон шкіри. Церамідний комплекс відновлює захисний бар'єр.

Наносити долонями, м'яко вбиваючи. Можна використовувати в кілька шарів для інтенсивного зволоження.",18+,"Рослинний PDRN, ніацинамід, церамідний комплекс, гіалуронова кислота, пантенол",Всі типи,PDRN Pink,Натуральна
PDRN Pink Cica Soothing Toner,"PDRN, центела, заспокійливий тонер, чутлива шкіра, корейська косметика","Заспокійливий тонер з PDRN та центелою для чутливої та подразненої шкіри.","PDRN Pink Cica Soothing Toner — це заспокійливий тонер для чутливої шкіри, який поєднує регенеруючу силу PDRN з заспокійливими властивостями центели азіатської.

Тонер зменшує почервоніння, заспокоює подразнення та відновлює комфорт шкіри. Ідеальний після косметологічних процедур або при реактивній шкірі.

Наносити долонями або компресом на подразнені ділянки.",16+,"Рослинний PDRN, мадекасосид, азіатикозид, пантенол, алантоїн, бетаїн",Чутлива,PDRN Pink,Натуральна

PDRN Pink Collagen Gel Mask,"PDRN, колаген, гелева маска, зволоження, пружність, корейська косметика","Гелева маска з PDRN та колагеном для інтенсивного зволоження та омолодження.","PDRN Pink Collagen Gel Mask — це гелева тканинна маска, просочена есенцією з PDRN та колагеном. Гелева текстура щільно прилягає до шкіри, забезпечуючи максимальне проникнення активних компонентів.

Маска інтенсивно зволожує, підвищує пружність та надає шкірі здорового сяйва. Ідеальна для підготовки до важливих подій або як SOS-засіб для втомленої шкіри.

Тримати на обличчі 15-20 хвилин. Залишки есенції вбити в шкіру.",18+,"Рослинний PDRN, колаген, гіалуронова кислота, ніацинамід, пантенол",Всі типи,PDRN Pink,Натуральна
PDRN Pink Tension Up Mask,"PDRN, ліфтинг, тканинна маска, підтягування, V-контур, корейська косметика","Ліфтинг-маска з PDRN для підтягування овалу обличчя та V-контуру.","PDRN Pink Tension Up Mask — це ліфтинг-маска з спеціальною конструкцією для підтягування овалу обличчя. Маска охоплює нижню частину обличчя, створюючи ефект V-контуру.

PDRN стимулює вироблення колагену, а пептиди підтягують шкіру. Після використання овал обличчя виглядає чіткішим, шкіра — пружнішою.

Тримати на обличчі 20-30 хвилин. Використовувати 2-3 рази на тиждень.",25+,"Рослинний PDRN, пептидний комплекс, колаген, аденозин, гіалуронова кислота",Зріла,PDRN Pink,Натуральна
Deep Vita C Patch,"вітамін С, патчі, освітлення, пігментація, точкова дія, корейська косметика","Патчі з вітаміном С для точкового освітлення пігментних плям.","Deep Vita C Patch — це патчі з концентрованим вітаміном С для точкового нанесення на пігментні плями, постакне або ділянки з нерівним тоном шкіри.

Патчі забезпечують тривалий контакт активних компонентів зі шкірою, посилюючи освітлюючий ефект. Вітамін С в поєднанні з ніацинамідом ефективно борються з пігментацією.

Наносити на чисту суху шкіру на ніч або на 4-6 годин вдень.",18+,"Вітамін С, ніацинамід, арбутин, гіалуронова кислота, алантоїн",Всі типи,Deep Vita C,Лікувальна
PDRN Lip Sleeping Mask,"PDRN, маска для губ, зволоження губ, нічний догляд, корейська косметика","Нічна маска для губ з PDRN для інтенсивного зволоження та відновлення.","PDRN Lip Sleeping Mask — це нічна маска для губ з рослинним PDRN для інтенсивного зволоження та відновлення сухих, потріскавших губ. Насичена формула працює протягом ночі.

PDRN стимулює регенерацію ніжної шкіри губ, а комплекс олій та масел живить та пом'якшує. Вранці губи м'які, зволожені, готові до нанесення макіяжу.

Наносити щедрий шар на губи перед сном. Можна використовувати вдень як бальзам.",16+,"Рослинний PDRN, масло ші, бджолиний віск, вітамін Е, олія жожоба",Всі типи,PDRN,Натуральна
Deep Vita C Daily Quick Mask,"вітамін С, щоденна маска, освітлення, швидка дія, корейська косметика","Щоденна експрес-маска з вітаміном С для швидкого освітлення та сяйва.","Deep Vita C Daily Quick Mask — це тонка тканинна маска для щоденного використання, просочена есенцією з вітаміном С. Тонка текстура дозволяє використовувати маску щодня без перевантаження шкіри.

Маска освітлює шкіру, надає здорового сяйва та захищає від вільних радикалів. Ідеальна для ранкового догляду — всього 10 хвилин для сяючої шкіри.

Тримати на обличчі 10-15 хвилин. Можна використовувати щодня.",16+,"Вітамін С, ніацинамід, гіалуронова кислота, екстракт зеленого чаю",Всі типи,Deep Vita C,Натуральна
Super Cica Daily Quick Mask,"центела, щоденна маска, заспокійлива, чутлива шкіра, корейська косметика","Щоденна заспокійлива маска з центелою для чутливої шкіри.","Super Cica Daily Quick Mask — це тонка тканинна маска з концентрованим екстрактом центели азіатської для щоденного заспокоєння чутливої шкіри. Ідеальна для реактивної шкіри, після сонця або косметологічних процедур.

Маска миттєво зменшує почервоніння та дискомфорт, відновлює комфорт шкіри. Легка формула підходить для щоденного використання.

Тримати на обличчі 10-15 хвилин. Залишки есенції вбити в шкіру.",16+,"Екстракт центели, мадекасосид, пантенол, алантоїн, гіалуронова кислота",Чутлива,Cica,Натуральна
Collagen Lifting Mask,"колаген, ліфтинг, тканинна маска, пружність, антивіковий, корейська косметика","Ліфтинг-маска з колагеном для підтягування та підвищення пружності шкіри.","Collagen Lifting Mask — це тканинна маска з потрійним колагеном та пептидами для ліфтинг-ефекту. Маска щільно прилягає до шкіри, забезпечуючи максимальне проникнення активних компонентів.

Колаген та пептиди підвищують пружність шкіри, розгладжують зморшки та покращують овал обличчя. Після використання шкіра виглядає підтягнутою та молодою.

Тримати на обличчі 20-30 хвилин. Використовувати 2-3 рази на тиждень.",25+,"Потрійний колаген, пептидний комплекс, аденозин, гіалуронова кислота",Зріла,Collagen,Натуральна
Collagen Night Wrapping Mask,"колаген, нічна маска, зволоження, відновлення, антивіковий, корейська косметика","Нічна маска з колагеном для інтенсивного відновлення шкіри під час сну.","Collagen Night Wrapping Mask — це нічна маска-обгортання з колагеном для інтенсивного відновлення шкіри під час сну. Насичена формула працює всю ніч, поки ви спите.

Маска насичує шкіру колагеном, зволожує та відновлює. Вранці шкіра виглядає відпочившою, пружною, з природним сяйвом.

Наносити як останній етап вечірнього догляду. Вранці змити або залишити.",25+,"Колаген, гіалуронова кислота, церамідний комплекс, масло ші, сквалан",Суха/Зріла,Collagen,Натуральна
Deep Peptide Radiance Mask,"пептиди, сяйво, тканинна маска, омолодження, корейська косметика","Маска з пептидами для сяйва та омолодження шкіри.","Deep Peptide Radiance Mask — це тканинна маска з комплексом пептидів для миттєвого сяйва та омолодження шкіри. Пептиди — це фрагменти білків, які сигналізують шкірі виробляти більше колагену.

Маска розгладжує дрібні зморшки, покращує текстуру шкіри та надає здорового сяйва. Ідеальна для підготовки до важливих подій.

Тримати на обличчі 15-20 хвилин. Залишки есенції вбити в шкіру.",25+,"Пептидний комплекс, ніацинамід, гіалуронова кислота, аденозин",Зріла,Peptide,Натуральна
